uniprot,protein_names,gene_names,WT_p_value,WT_Effect_size,CKO_p_value,CKO_Effect_size,Genotype_p_value,Genotype_Effect_size,Gender_p_value,Genotype_Effect_size
P13439,Uridine 5-monophosphate synthase;Orotate phosphoribosyltransferase;Orotidine 5-phosphate decarboxylase,Umps,0.9882,0.0008986,0.2955,0.06598,0.8337,-0.02187,0.7783,0.04565
P13595,Neural cell adhesion molecule 1,Ncam1,0.6068,-0.03138,0.8367,0.013,0.7727,-0.03009,0.0512,0.3162
P13597,Intercellular adhesion molecule 1,Icam1,0.1767,-0.08237,0.574,-0.03546,0.0001,0.4594,0.4103,0.1335
P13808,Anion exchange protein 2,Slc4a2,0.6664,-0.02629,0.4092,0.05205,0.2725,0.1143,0.5369,0.1002
P13864,DNA (cytosine-5)-methyltransferase 1,Dnmt1,0.9626,-0.002857,0.4064,0.05237,0.8218,0.02346,0.8208,0.03674
P14069,Protein S100-A6,S100a6,0.5745,0.03423,0.2906,0.06666,0.0005,0.3599,0.9414,0.01193
P14094,Sodium/potassium-transporting ATPase subunit beta-1,Atp1b1,0.2202,-0.07475,0.9802,0.001567,0.0009,-0.3467,0.3317,0.1574
P14115,60S ribosomal protein L27a,Rpl27a,0.7854,-0.0166,0.9325,0.005341,0.4799,0.07358,0.5348,0.1006
P14131,40S ribosomal protein S16,Rps16,0.9224,0.005942,0.8695,0.01037,0.0876,0.1779,0.4117,0.1331
P14148,60S ribosomal protein L7,Rpl7,0.9284,0.005478,0.8132,0.01491,0.0001,0.4866,0.7819,0.04491
P14152,"Malate dehydrogenase, cytoplasmic",Mdh1,0.6847,-0.02476,0.5551,-0.03722,0.4496,-0.07876,0.669,-0.06934
P14206,40S ribosomal protein SA,Rpsa,0.9048,0.00729,0.7062,0.02377,0.9682,-0.004149,0.6031,0.08433
P14211,Calreticulin,Calr,0.6349,0.02896,0.9991,0.00007105,0.8192,-0.02381,0.5065,-0.1077
P14404,MDS1 and EVI1 complex locus protein EVI1;PR domain zinc finger protein 16,Mecom;Prdm16,0.7468,-0.01969,0.3067,0.06448,0.7652,0.03111,0.8017,0.04072
P14576,Signal recognition particle 54 kDa protein,Srp54,0.6863,0.02463,0.9925,-0.0005901,0.7874,-0.02809,0.4238,0.1297
P14602,Heat shock protein beta-1,Hspb1,0.1058,0.09862,0.849,0.01201,0.0001,0.3999,0.1405,-0.2391
P14685,26S proteasome non-ATPase regulatory subunit 3,Psmd3,0.7169,0.02211,0.5993,0.03314,0.3155,0.1046,0.9278,0.0147
P14733,Lamin-B1,Lmnb1,0.1796,-0.08183,0.4394,-0.04877,0.0001,-0.5462,0.9628,-0.007563
P14824,Annexin A6,Anxa6,0.7817,-0.01689,0.6499,-0.02863,0.6067,-0.05362,0.4138,0.1325
P14869,60S acidic ribosomal protein P0,Rplp0,0.5828,-0.03349,0.6815,0.02589,0.6178,-0.05198,0.5085,0.1072
P14873,Microtubule-associated protein 1B;MAP1B heavy chain;MAP1 light chain LC1,Map1b,0.3902,0.05239,0.3005,0.06531,0.0022,0.3193,0.5233,-0.1035
P14901,Heme oxygenase 1,Hmox1,0.082,0.106,0.0549,0.1211,0.0001,0.4488,0.6245,-0.07938
P15105,Glutamine synthetase,Glul,0.2611,0.06853,0.0051,0.1768,0.4184,-0.08429,0.0016,-0.5107
P15116,Cadherin-2,Cdh2,0.5081,0.04035,0.0897,0.1071,0.0001,0.5936,0.6637,-0.07051
P15208,Insulin receptor;Insulin receptor subunit alpha;Insulin receptor subunit beta,Insr,0.6694,-0.02603,0.6054,0.03259,0.6431,0.04826,0.9429,-0.01161
P15306,Thrombomodulin,Thbd,0.5233,-0.03892,0.6368,0.02978,0.0001,-0.8166,0.202,-0.2069
P15307,Proto-oncogene c-Rel,Rel,0.0756,-0.1083,0.477,0.04486,0.1622,-0.1456,0.9273,0.0148
P15327,Bisphosphoglycerate mutase,Bpgm,0.5621,-0.03535,0.5692,0.0359,0.0263,-0.2314,0.831,0.03461
P15375,Myogenic factor 6,Myf6,0.1743,0.08283,0.0254,0.141,0.9232,0.01004,0.9044,0.01948
P15379,CD44 antigen,Cd44,0.0807,0.1065,0.1153,0.09934,0.9765,0.003064,0.629,0.07834
P15532,Nucleoside diphosphate kinase A,Nme1,0.5923,0.03265,0.4405,0.04866,0.0398,0.2141,0.9456,0.01106
P15533,Tripartite motif-containing protein 30A,Trim30a,0.0093,0.1587,0.0007,0.2144,0.25,0.1198,0.8823,0.02401
P15535,"Beta-1,4-galactosyltransferase 1;Lactose synthase A protein;N-acetyllactosamine synthase;Beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase;Beta-N-acetylglucosaminyl-glycolipid beta-1,4-galactosyltransferase;Processed beta-1,4-galactosyltransferase 1",B4galt1,0.7223,0.02167,0.1759,0.08538,0.003,-0.3089,0.9973,-0.0005411
P15626,Glutathione S-transferase Mu 2,Gstm2,0.0537,-0.1177,0.0854,-0.1085,0.0001,-0.8604,0.7973,0.04166
P15655,Fibroblast growth factor 2,Fgf2,0.4385,-0.04724,0.3796,0.05542,0.0004,0.3707,0.4494,0.1227
P15864,Histone H1.2,Hist1h1c,0.0656,-0.1123,0.0523,-0.1224,0.2375,-0.123,0.602,0.08458
P15920,V-type proton ATPase 116 kDa subunit a isoform 2,Atp6v0a2,0.5416,0.03722,0.7605,0.01922,0.3563,-0.09608,0.9826,0.003529
P15975,Inactive ubiquitin carboxyl-terminal hydrolase 53,Usp53,0.0001,-0.4209,0.0001,0.3523,0.0899,0.1766,0.0338,0.3443
P16045,Galectin-1,Lgals1,0.9731,0.002059,0.9698,0.002392,0.8946,0.0138,0.6967,-0.06322
P16054,Protein kinase C epsilon type,Prkce,0.6617,0.02668,0.0435,0.1274,0.0058,0.2872,0.9921,-0.001598
P16092,Fibroblast growth factor receptor 1,Fgfr1,0.3923,-0.05216,0.5225,-0.04033,0.8389,0.02117,0.6155,-0.08145
P16110,Galectin-3,Lgals3,0.6548,-0.02726,0.7221,0.02243,0.0001,-0.9756,0.5219,-0.1039
P16125,L-lactate dehydrogenase B chain,Ldhb,0.1381,-0.09042,0.0073,-0.1691,0.709,0.03887,0.4902,0.1119
P16254,"Signal recognition particle 14 kDa protein;Signal recognition particle 14 kDa protein, N-terminally processed",Srp14,0.7519,-0.01928,0.3493,-0.05904,0.7283,0.03619,0.5907,0.08722
P16332,"Methylmalonyl-CoA mutase, mitochondrial",Mut,0.8291,0.01316,0.7066,0.02374,0.3852,-0.09044,0.7068,-0.06101
P16406,Glutamyl aminopeptidase,Enpep,0.0038,-0.1765,0.5632,-0.03647,0.0009,-0.3473,0.6973,-0.06307
P16460,Argininosuccinate synthase,Ass1,0.467,-0.04435,0.3156,0.0633,0.0001,1.189,0.9259,0.01507
P16546,"Spectrin alpha chain, non-erythrocytic 1",Sptan1,0.1227,0.09413,0.0675,0.1153,0.9175,0.01079,0.9584,0.008463
P16546,"Spectrin alpha chain, non-erythrocytic 1",Sptan1,0.7471,-0.01966,0.9989,-0.00008414,0.8713,-0.01688,0.5423,-0.09881
P16675,Lysosomal protective protein;Lysosomal protective protein 32 kDa chain;Lysosomal protective protein 20 kDa chain,Ctsa,0.0189,-0.1431,0.0809,-0.1101,0.0001,-0.5244,0.8416,-0.03241
P16858,Glyceraldehyde-3-phosphate dehydrogenase,Gapdh,0.6584,0.02696,0.5048,0.04207,0.1442,0.1521,0.6894,0.06481
P17047,Lysosome-associated membrane glycoprotein 2,Lamp2,0.8509,-0.01146,0.972,0.00221,0.0001,-0.6261,0.3902,-0.1394
P17095,High mobility group protein HMG-I/HMG-Y,Hmga1,0.3792,0.05362,0.0932,0.1059,0.1509,-0.1496,0.5798,0.08979
P17095,High mobility group protein HMG-I/HMG-Y,Hmga1,0.8057,-0.015,0.2376,0.07449,0.0001,-0.421,0.5733,0.09133
P17125,Transforming growth factor beta-3;Latency-associated peptide,Tgfb3,0.0589,-0.1152,0.0454,0.1262,0.9125,-0.01144,0.0145,0.3963
P17156,Heat shock-related 70 kDa protein 2,Hspa2,0.9229,-0.0059,0.4203,-0.05083,0.0025,0.3144,0.75,-0.05167
P17182,Alpha-enolase,Eno1,0.7634,0.01836,0.8169,0.0146,0.204,-0.1323,0.661,0.07111
P17183,Gamma-enolase,Eno2,0.2506,-0.07005,0.0962,-0.1049,0.467,-0.07577,0.8775,-0.02499
P17225,Polypyrimidine tract-binding protein 1,Ptbp1,0.7444,-0.01988,0.7576,0.01947,0.0042,-0.2984,0.5712,0.09183
P17426,AP-2 complex subunit alpha-1,Ap2a1,0.9581,-0.003203,0.6987,0.02442,0.2017,0.133,0.6511,-0.07334
P17427,AP-2 complex subunit alpha-2,Ap2a2,0.7962,-0.01575,0.8954,-0.00829,0.3333,-0.1008,0.6719,-0.06868
P17439,Glucosylceramidase,Gba,0.1976,-0.07856,0.4438,-0.04831,0.0001,-0.5596,0.7638,-0.04873
P17563,Selenium-binding protein 1;Selenium-binding protein 2,Selenbp1;Selenbp2,0.9062,0.007182,0.1445,-0.09204,0.0001,-0.55,0.6676,-0.06964
P17665,"Cytochrome c oxidase subunit 7C, mitochondrial",Cox7c,0.1729,0.08311,0.4853,0.04402,0.2975,-0.1085,0.4986,-0.1097
P17710,Hexokinase-1,Hk1,0.6125,0.03088,0.6788,0.02612,0.0017,0.327,0.5788,-0.09004
P17742,"Peptidyl-prolyl cis-trans isomerase A;Peptidyl-prolyl cis-trans isomerase A, N-terminally processed",Ppia,0.9864,-0.001037,0.5567,-0.03708,0.5604,0.06065,0.9103,0.01828
P17751,Triosephosphate isomerase,Tpi1,0.6772,-0.02538,0.6993,-0.02436,0.0077,-0.2774,0.6435,0.07506
P17879,Heat shock 70 kDa protein 1B,Hspa1b,0.9487,-0.003923,0.6958,-0.02466,0.0001,-0.5125,0.6884,-0.06503
P17918,Proliferating cell nuclear antigen,Pcna,0.401,-0.0512,0.0061,0.1731,0.3485,0.09765,0.0484,0.3201
P18052,Receptor-type tyrosine-protein phosphatase alpha,Ptpra,0.7449,-0.01984,0.601,-0.03299,0.8382,0.02128,0.4668,-0.118
P18155,"Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial;NAD-dependent methylenetetrahydrofolate dehydrogenase;Methenyltetrahydrofolate cyclohydrolase",Mthfd2,0.5543,0.03605,0.8105,0.01513,0.0165,0.2496,0.5874,0.088
P18242,Cathepsin D,Ctsd,0.2909,-0.0644,0.3049,-0.06471,0.0452,0.2086,0.523,-0.1036
P18406,Protein CYR61,Cyr61,0.3212,0.06048,0.798,-0.01614,0.2989,0.1082,0.3908,0.1392
P18572,Basigin,Bsg,0.123,-0.09405,0.4847,-0.04408,0.0001,-0.9187,0.2891,0.1719
P18581,Cationic amino acid transporter 2,Slc7a2,0.995,-0.0003841,0.0274,0.1391,0.0003,0.3762,0.6422,0.07535
P18608,Non-histone chromosomal protein HMG-14,Hmgn1,0.0046,0.173,0.0001,-0.474,0.0058,-0.2872,0.5557,0.09556
P18654,Ribosomal protein S6 kinase alpha-3,Rps6ka3,0.5159,-0.03961,0.8665,0.0106,0.0008,-0.3498,0.984,-0.003259
P18760,Cofilin-1,Cfl1,0.6937,0.02402,0.9578,-0.003336,0.2853,-0.1113,0.8266,0.03552
P18826,"Phosphorylase b kinase regulatory subunit alpha, skeletal muscle isoform",Phka1,0.274,-0.0667,0.3759,-0.05585,0.0105,0.2667,0.4536,-0.1215
P18828,Syndecan-1,Sdc1,0.8457,0.01186,0.6499,-0.02863,0.5567,-0.06122,0.5315,-0.1015
P18872,Guanine nucleotide-binding protein G(o) subunit alpha,Gnao1,0.9773,0.001736,0.4084,-0.05214,0.0001,0.4425,0.0044,-0.4622
P19096,Fatty acid synthase;[Acyl-carrier-protein] S-acetyltransferase;[Acyl-carrier-protein] S-malonyltransferase;3-oxoacyl-[acyl-carrier-protein] synthase;3-oxoacyl-[acyl-carrier-protein] reductase;3-hydroxyacyl-[acyl-carrier-protein] dehydratase;Enoyl-[acyl-carrier-protein] reductase;Oleoyl-[acyl-carrier-protein] hydrolase,Fasn,0.5582,-0.0357,0.7994,0.01603,0.3771,0.09201,0.4678,0.1178
P19157,Glutathione S-transferase P 1;Glutathione S-transferase P 2,Gstp1;Gstp2,0.2851,-0.06517,0.1548,-0.08974,0.0008,-0.3505,0.5838,-0.08885
P19182,Interferon-related developmental regulator 1,Ifrd1,0.0797,-0.1068,0.0992,0.104,0.9277,0.009455,0.2418,0.1898
P19253,60S ribosomal protein L13a,Rpl13a,0.8646,0.0104,0.8622,-0.01095,0.076,0.1848,0.7125,0.05977
P19258,Protein Mpv17,Mpv17,0.4516,-0.0459,0.7905,0.01675,0.2407,-0.1222,0.7603,-0.04947
P19324,Serpin H1,Serpinh1,0.8511,-0.01145,0.7361,0.02126,0.35,-0.09735,0.3488,0.152
P19426,Negative elongation factor E,Nelfe,0.9254,0.005712,0.4002,0.05307,0.1238,-0.1603,0.7051,0.06137
P19536,"Cytochrome c oxidase subunit 5B, mitochondrial",Cox5b,0.4123,0.04999,0.6378,0.0297,0.2281,-0.1255,0.5552,-0.09567
P19783,"Cytochrome c oxidase subunit 4 isoform 1, mitochondrial",Cox4i1,0.9341,0.005043,0.9951,0.0003843,0.3508,-0.09719,0.619,-0.08065
P19788,Matrix Gla protein,Mgp,0.1167,-0.09565,0.037,-0.1315,0.0001,-0.8053,0.0786,0.2853
P19973,Lymphocyte-specific protein 1,Lsp1,0.1663,-0.0844,0.4658,-0.04601,0.0001,-0.586,0.6723,0.06861
P20029,78 kDa glucose-regulated protein,Hspa5,0.2588,0.06886,0.8444,0.01238,0.6453,0.04795,0.3258,-0.1593
P20060,Beta-hexosaminidase subunit beta,Hexb,0.0995,-0.1004,0.2452,-0.0733,0.0001,-0.6703,0.9252,0.01524
P20065,Thymosin beta-4;Hematopoietic system regulatory peptide,Tmsb4x,0.7439,0.01992,0.3946,-0.0537,0.1705,-0.1428,0.3626,-0.1476
P20108,"Thioredoxin-dependent peroxide reductase, mitochondrial",Prdx3,0.804,0.01513,0.6121,-0.03199,0.0521,-0.2023,0.6662,-0.06997
P20152,Vimentin,Vim,0.1226,0.09414,0.8284,0.01367,0.1261,0.1593,0.8302,-0.03478
P20352,Tissue factor,F3,0.0323,0.1305,0.1725,0.08604,0.425,-0.08309,0.2209,0.1985
P20357,Microtubule-associated protein 2,Map2,0.6867,0.0246,0.712,0.02329,0.0001,-0.6736,0.0166,0.3884
P20444,Protein kinase C alpha type,Prkca,0.6679,-0.02616,0.9195,0.006378,0.0111,0.2646,0.8695,-0.02664
P20664,DNA primase small subunit,Prim1,0.0077,-0.1625,0.008,0.1672,0.5437,-0.06325,0.0926,0.2728
P21107,Tropomyosin alpha-3 chain,Tpm3,0.9259,0.005669,0.6385,-0.02963,0.1258,0.1595,0.7923,-0.04271
P21107,Tropomyosin alpha-3 chain,Tpm3,0.8035,0.01517,0.6011,-0.03297,0.3294,0.1016,0.6357,-0.07682
P21126,Ubiquitin-like protein 4A,Ubl4a,0.7755,0.01739,0.9979,-0.0001648,0.6367,-0.0492,0.8256,0.03574
P21278,Guanine nucleotide-binding protein subunit alpha-11,Gna11,0.857,0.01098,0.7382,-0.02108,0.7135,0.03824,0.2616,-0.1821
P21279,Guanine nucleotide-binding protein G(q) subunit alpha,Gnaq,0.4914,0.04196,0.4445,-0.04823,0.2172,0.1285,0.5407,-0.0992
P21300,Aldose reductase-related protein 1,Akr1b7,0.3665,0.05507,0.9871,-0.001018,0.657,-0.04625,0.4561,-0.1209
P21447,Multidrug resistance protein 1A,Abcb1a,0.1787,-0.082,0.1137,0.09979,0.0076,0.2781,0.2931,0.1705
P21460,Cystatin-C,Cst3,0.7722,-0.01765,0.4392,-0.04879,0.3037,-0.1071,0.9696,0.006182
P21550,Beta-enolase,Eno3,0.4959,-0.04152,0.2278,0.07608,0.0251,-0.2334,0.1426,0.2378
P21619,Lamin-B2,Lmnb2,0.679,-0.02523,0.2939,-0.0662,0.0001,-0.4176,0.9678,0.006553
P21956,Lactadherin,Mfge8,0.2179,-0.07513,0.5095,-0.04161,0.0734,-0.1865,0.7686,0.04771
P21958,Antigen peptide transporter 1,Tap1,0.1158,-0.09589,0.9377,0.004927,0.0261,-0.2317,0.4722,-0.1166
P21981,Protein-glutamine gamma-glutamyltransferase 2,Tgm2,0.9135,0.006627,0.5064,-0.04191,0.0001,-0.5556,0.5764,0.09059
P21995,Embigin,Emb,0.0839,-0.1054,0.0031,-0.1866,0.8209,0.02358,0.0393,0.3343
P22315,"Ferrochelatase, mitochondrial",Fech,0.9843,0.001202,0.7057,0.02382,0.0001,-0.4145,0.3224,-0.1605
P22366,Myeloid differentiation primary response protein MyD88,Myd88,0.5116,0.04002,0.7788,0.01772,0.1174,-0.1631,0.9689,-0.006318
P22437,Prostaglandin G/H synthase 1,Ptgs1,0.5931,-0.03258,0.7935,0.01651,0.0001,-0.544,0.0169,-0.3873
P22682,E3 ubiquitin-protein ligase CBL,Cbl,0.6226,-0.03001,0.3112,-0.06388,0.4888,0.0721,0.8499,-0.03069
P22725,Protein Wnt-5a,Wnt5a,0.0112,-0.1547,0.2379,-0.07444,0.3174,-0.1041,0.4534,0.1216
P22777,Plasminogen activator inhibitor 1,Serpine1,0.0001,0.3162,0.1288,0.0958,0.0001,0.5476,0.492,0.1114
P22892,AP-1 complex subunit gamma-1,Ap1g1,0.6975,-0.0237,0.4526,0.04738,0.1146,0.1644,0.7362,0.05464
P22907,Porphobilinogen deaminase,Hmbs,0.6756,0.02552,0.2232,0.07682,0.4661,-0.07591,0.676,0.06778
P23116,Eukaryotic translation initiation factor 3 subunit A,Eif3a,0.9184,-0.006249,0.6611,0.02766,0.7369,0.03499,0.6899,0.06471
P23188,Furin,Furin,0.6854,0.0247,0.1731,0.08594,0.8269,-0.02278,0.7507,0.05152
P23198,Chromobox protein homolog 3,Cbx3,0.1249,-0.09357,0.5414,-0.03852,0.0001,-0.4074,0.2137,0.2017
P23242,Gap junction alpha-1 protein,Gja1,0.0487,-0.1202,0.1235,-0.09714,0.0005,-0.3613,0.2041,0.2059
P23249,Putative helicase MOV-10,Mov10,0.2206,-0.07469,0.9807,-0.001525,0.0277,-0.2293,0.836,0.03357
P23336,"N-acetyllactosaminide alpha-1,3-galactosyltransferase",Ggta1,0.7846,0.01667,0.4606,-0.04654,0.0001,0.4159,0.8189,0.03713
P23475,X-ray repair cross-complementing protein 6,Xrcc6,0.5116,-0.04002,0.9335,-0.005265,0.0018,-0.3246,0.6316,0.07775
P23492,Purine nucleoside phosphorylase,Pnp,0.8503,0.01151,0.2412,-0.07393,0.8785,0.01592,0.6777,-0.0674
P23506,Protein-L-isoaspartate(D-aspartate) O-methyltransferase,Pcmt1,0.7359,-0.02057,0.7324,-0.02157,0.4926,-0.07147,0.9141,-0.01749
P23591,GDP-L-fucose synthase,Tsta3,0.3659,-0.05513,0.7529,-0.01986,0.6338,0.04962,0.6797,0.06697
P23780,Beta-galactosidase,Glb1,0.1147,-0.09617,0.1687,-0.08681,0.0098,-0.2689,0.879,-0.02469
P23927,Alpha-crystallin B chain,Cryab,0.0131,0.1514,0.1947,0.0818,0.0001,0.9973,0.0001,-0.6681
P23949,"Zinc finger protein 36, C3H1 type-like 2",Zfp36l2,0.8605,0.01071,0.1215,0.09768,0.3,0.108,0.8525,-0.03015
P23950,"Zinc finger protein 36, C3H1 type-like 1",Zfp36l1,0.9811,-0.001443,0.172,0.08615,0.0001,-0.4041,0.5096,0.1069
P24270,Catalase,Cat,0.4735,-0.0437,0.8161,0.01467,0.0023,0.3171,0.7054,0.06131
P24288,"Branched-chain-amino-acid aminotransferase, cytosolic",Bcat1,0.0785,0.1073,0.0269,0.1396,0.0001,0.5801,0.6282,-0.07852
P24369,Peptidyl-prolyl cis-trans isomerase B,Ppib,0.9957,-0.0003272,0.9326,-0.005331,0.5941,0.05551,0.7189,-0.05837
P24452,Macrophage-capping protein,Capg,0.774,0.01751,0.4898,0.04357,0.4075,-0.08627,0.1847,-0.2151
P24472,Glutathione S-transferase A4,Gsta4,0.2092,-0.07656,0.7312,-0.02167,0.0001,-1.087,0.6724,-0.06858
P24527,Leukotriene A-4 hydrolase,Lta4h,0.7972,-0.01567,0.9002,0.007914,0.868,-0.01731,0.9581,-0.008527
P24547,Inosine-5-monophosphate dehydrogenase 2,Impdh2,0.6242,0.02987,0.344,0.05969,0.0482,0.2058,0.3011,0.1677
P24549,Retinal dehydrogenase 1,Aldh1a1,0.0021,-0.1878,0.651,-0.02854,0.2108,-0.1303,0.0068,0.4388
P24638,Lysosomal acid phosphatase,Acp2,0.9137,0.006605,0.7404,-0.02089,0.6564,0.04635,0.6396,-0.07594
P24668,Cation-dependent mannose-6-phosphate receptor,M6pr,0.3627,0.0555,0.4645,0.04614,0.012,-0.2616,0.9736,0.005375
P24788,Cyclin-dependent kinase 11B,Cdk11b,0.3405,-0.05812,0.9932,-0.0005344,0.0143,-0.255,0.6756,0.06786
P25085,Interleukin-1 receptor antagonist protein,Il1rn,0.9874,0.0009615,0.0565,-0.1203,0.0001,1.141,0.7699,-0.04744
P25206,DNA replication licensing factor MCM3,Mcm3,0.3737,-0.05424,0.0005,0.2198,0.1846,0.1382,0.0543,0.312
P25233,Necdin,Ndn,0.0087,-0.16,0.2939,0.06621,0.0066,-0.2828,0.0647,0.2996
P25322,G1/S-specific cyclin-D1,Ccnd1,0.9136,-0.006614,0.2936,0.06625,0.0001,0.6163,0.8714,0.02624
P25425,"POU domain, class 2, transcription factor 1",Pou2f1,0.3546,-0.05644,0.0009,-0.21,0.1484,-0.1505,0.8933,0.02175
P25444,40S ribosomal protein S2,Rps2,0.8719,-0.009836,0.7895,0.01684,0.0647,0.1924,0.453,0.1217
P25446,Tumor necrosis factor receptor superfamily member 6,Fas,0.8863,0.008721,0.1939,-0.08194,0.6992,0.04024,0.6519,-0.07317
P25785,Metalloproteinase inhibitor 2,Timp2,0.9644,0.002718,0.9119,-0.00698,0.0557,0.1993,0.6368,-0.07656
P25799,Nuclear factor NF-kappa-B p105 subunit;Nuclear factor NF-kappa-B p50 subunit,Nfkb1,0.578,-0.03392,0.722,0.02244,0.2622,-0.1168,0.6793,0.06704
P25911,Tyrosine-protein kinase Lyn,Lyn,0.6209,0.03016,0.6543,0.02825,0.5367,-0.06435,0.5092,0.1071
P25916,Polycomb complex protein BMI-1;Polycomb group RING finger protein 2,Bmi1;Pcgf2,0.0813,-0.1063,0.4475,-0.04791,0.0157,-0.2517,0.6388,0.07612
P25976,Nucleolar transcription factor 1,Ubtf,0.5326,-0.03805,0.2356,0.07481,0.0002,-0.3843,0.6272,0.07876
P26039,Talin-1,Tln1,0.8681,-0.01013,0.8153,-0.01473,0.0781,-0.1835,0.7375,0.05436
P26040,Ezrin,Ezr,0.0001,-0.2504,0.1492,-0.09098,0.0315,0.224,0.0007,0.5482
P26041,Moesin,Msn,0.2963,0.06368,0.8424,0.01254,0.1657,0.1444,0.4031,-0.1356
P26043,Radixin,Rdx,0.7568,-0.01888,0.4699,-0.04558,0.1917,-0.136,0.7992,-0.04125
P26187,Methylated-DNA--protein-cysteine methyltransferase,Mgmt,0.1211,-0.09452,0.0696,-0.1145,0.0407,0.2131,0.3325,0.1572
P26231,Catenin alpha-1,Ctnna1,0.8047,-0.01508,0.6808,0.02595,0.0021,0.3211,0.922,0.01587
P26350,"Prothymosin alpha;Prothymosin alpha, N-terminally processed;Thymosin alpha",Ptma,0.0843,0.1053,0.7291,0.02185,0.0044,-0.2968,0.3521,0.1509
P26369,Splicing factor U2AF 65 kDa subunit,U2af2,0.5951,-0.03241,0.2426,0.0737,0.0031,-0.3078,0.4953,0.1106
P26443,"Glutamate dehydrogenase 1, mitochondrial",Glud1,0.5782,0.0339,0.5307,0.03954,0.5584,-0.06095,0.2076,-0.2044
P26450,Phosphatidylinositol 3-kinase regulatory subunit alpha,Pik3r1,0.9587,-0.003159,0.5281,-0.03979,0.1538,-0.1486,0.9992,0.0001575
P26516,26S proteasome non-ATPase regulatory subunit 7,Psmd7,0.8707,-0.009922,0.6306,0.03033,0.9419,0.007596,0.7446,0.05284
P26618,Platelet-derived growth factor receptor alpha,Pdgfra,0.0193,-0.1427,0.1982,-0.08116,0.0096,-0.2699,0.4363,-0.1262
P26638,"Serine--tRNA ligase, cytoplasmic",Sars,0.7544,0.01907,0.769,0.01853,0.1112,0.1659,0.9184,0.01661
P26645,Myristoylated alanine-rich C-kinase substrate,Marcks,0.0576,-0.1158,0.5793,-0.03497,0.0001,-0.8041,0.8934,0.02172
P26883,Peptidyl-prolyl cis-trans isomerase FKBP1A,Fkbp1a,0.518,0.03942,0.6764,-0.02633,0.0267,0.2308,0.9313,-0.01397
P26952,Interleukin-3 receptor subunit alpha,Il3ra,0.0024,-0.1849,0.0064,-0.1721,0.0067,-0.2822,0.3367,-0.1558
P27046,Alpha-mannosidase 2,Man2a1,0.5928,-0.03261,0.1799,0.08458,0.0064,-0.2841,0.6073,0.08335
P27048,Small nuclear ribonucleoprotein-associated protein B;Small nuclear ribonucleoprotein-associated protein N,Snrpb;Snrpn,0.49,-0.04209,0.7733,0.01817,0.0004,-0.3687,0.421,0.1305
P27090,Transforming growth factor beta-2;Latency-associated peptide,Tgfb2,0.4104,-0.05019,0.7754,0.01799,0.0035,-0.3044,0.2613,0.1822
P27546,Microtubule-associated protein 4,Map4,0.699,-0.02358,0.4943,0.04311,0.0406,0.2133,0.4077,-0.1343
P27600,Guanine nucleotide-binding protein subunit alpha-12,Gna12,0.3252,0.05998,0.8129,0.01493,0.1225,-0.1608,0.5768,-0.0905
P27601,Guanine nucleotide-binding protein subunit alpha-13,Gna13,0.9882,-0.0008986,0.9162,-0.006637,0.4705,-0.07518,0.3253,-0.1595
P27612,Phospholipase A-2-activating protein,Plaa,0.9622,-0.002888,0.5827,0.03466,0.3814,0.09116,0.7026,0.06193
P27641,X-ray repair cross-complementing protein 5,Xrcc5,0.2313,-0.07299,0.8344,0.01319,0.0017,-0.3269,0.517,0.1051
P27659,60S ribosomal protein L3,Rpl3,0.6266,0.02967,0.9597,-0.00319,0.4417,0.08013,0.573,0.0914
P27661,Histone H2AX,H2afx,0.1097,-0.09754,0.401,0.05297,0.0001,-0.6026,0.1149,0.2557
P27773,Protein disulfide-isomerase A3,Pdia3,0.4895,0.04214,0.9408,-0.004681,0.5589,0.06088,0.9118,-0.01795
P27808,"Alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase",Mgat1,0.0887,-0.1038,0.3146,0.06344,0.31,0.1058,0.8225,0.03638
P28028,Serine/threonine-protein kinase B-raf,Braf,0.7197,-0.02188,0.7916,-0.01667,0.9643,-0.004663,0.8067,0.03968
P28033,CCAAT/enhancer-binding protein beta,Cebpb,0.0131,-0.1513,0.7071,0.0237,0.0001,-0.5662,0.6766,0.06764
P28063,Proteasome subunit beta type-8,Psmb8,0.0009,-0.2025,0.2977,-0.06569,0.0388,-0.2153,0.6011,-0.08478
P28271,Cytoplasmic aconitate hydratase,Aco1,0.3381,-0.0584,0.6655,0.02727,0.054,-0.2007,0.5633,0.09372
P28301,Protein-lysine 6-oxidase,Lox,0.4544,0.04562,0.8641,0.01079,0.0571,-0.1982,0.7062,-0.06113
P28352,"DNA-(apurinic or apyrimidinic site) lyase;DNA-(apurinic or apyrimidinic site) lyase, mitochondrial",Apex1,0.7173,-0.02208,0.6124,0.03196,0.153,-0.1488,0.5623,0.09396
P28474,Alcohol dehydrogenase class-3,Adh5,0.2237,-0.07419,0.854,-0.01161,0.1847,-0.1382,0.8153,0.03787
P28481,Collagen alpha-1(II) chain;Collagen alpha-1(II) chain;Chondrocalcin,Col2a1,0.1835,0.0811,0.7839,-0.0173,0.0001,1.506,0.706,-0.06118
